x1 x2 x3 v_real v_imag v_abs
5.1192 0.0387301 0.992115 nan nan nan
5.14878 0.0483409 0.987688 nan nan nan
5.17821 0.057904 0.982287 nan nan nan
5.20747 0.06741 0.975917 nan nan nan
5.23652 0.0768494 0.968583 nan nan nan
5.26534 0.086213 0.960294 nan nan nan
5.29389 0.0954915 0.951057 nan nan nan
5.32216 0.104676 0.940881 nan nan nan
5.35011 0.113757 0.929776 nan nan nan
5.37771 0.122725 0.917755 nan nan nan
5.40494 0.131573 0.904827 nan nan nan
5.43177 0.140291 0.891007 nan nan nan
5.45817 0.14887 0.876307 nan nan nan
5.48413 0.157302 0.860742 nan nan nan
5.5096 0.16558 0.844328 nan nan nan
5.53457 0.173693 0.827081 nan nan nan
5.55902 0.181636 0.809017 nan nan nan
5.58291 0.189399 0.790155 nan nan nan
5.60623 0.196975 0.770513 nan nan nan
5.62894 0.204357 0.750111 nan nan nan
5.65104 0.211537 0.728969 nan nan nan
5.6725 0.218508 0.707107 nan nan nan
5.69329 0.225264 0.684547 nan nan nan
5.7134 0.231797 0.661312 nan nan nan
5.7328 0.238102 0.637424 nan nan nan
5.75148 0.244171 0.612907 nan nan nan
5.76942 0.25 0.587785 nan nan nan
5.7866 0.255582 0.562083 nan nan nan
5.803 0.260912 0.535827 nan nan nan
5.81861 0.265984 0.509041 nan nan nan
5.83342 0.270794 0.481754 nan nan nan
5.8474 0.275336 0.45399 nan nan nan
5.86054 0.279607 0.425779 nan nan nan
5.87284 0.283602 0.397148 nan nan nan
5.88427 0.287317 0.368125 nan nan nan
5.89483 0.290748 0.338738 nan nan nan
5.90451 0.293893 0.309017 nan nan nan
5.91329 0.296747 0.278991 nan nan nan
5.92118 0.299309 0.24869 nan nan nan
5.92815 0.301575 0.218143 nan nan nan
5.93421 0.303543 0.187381 nan nan nan
5.93935 0.305212 0.156434 nan nan nan
5.94356 0.30658 0.125333 nan nan nan
5.94684 0.307646 0.0941083 nan nan nan
5.94918 0.308407 0.0627905 nan nan nan
5.95059 0.308865 0.0314108 nan nan nan
5.95106 0.309017 -1.27104e-15 nan nan nan
5.95059 0.308865 -0.0314108 nan nan nan
5.94918 0.308407 -0.0627905 nan nan nan
5.94684 0.307646 -0.0941083 nan nan nan
5.94356 0.30658 -0.125333 nan nan nan
5.93935 0.305212 -0.156434 nan nan nan
5.93421 0.303543 -0.187381 nan nan nan
5.92815 0.301575 -0.218143 nan nan nan
5.92118 0.299309 -0.24869 nan nan nan
5.91329 0.296747 -0.278991 nan nan nan
5.90451 0.293893 -0.309017 nan nan nan
5.89483 0.290748 -0.338738 nan nan nan
5.88427 0.287317 -0.368125 nan nan nan
5.87284 0.283602 -0.397148 nan nan nan
5.86054 0.279607 -0.425779 nan nan nan
5.8474 0.275336 -0.45399 nan nan nan
5.83342 0.270794 -0.481754 nan nan nan
5.81861 0.265984 -0.509041 nan nan nan
5.803 0.260912 -0.535827 nan nan nan
5.7866 0.255582 -0.562083 nan nan nan
5.76942 0.25 -0.587785 nan nan nan
5.75148 0.244171 -0.612907 nan nan nan
5.7328 0.238102 -0.637424 nan nan nan
5.7134 0.231797 -0.661312 nan nan nan
5.69329 0.225264 -0.684547 nan nan nan
5.6725 0.218508 -0.707107 nan nan nan
5.65104 0.211537 -0.728969 nan nan nan
5.62894 0.204357 -0.750111 nan nan nan
5.60623 0.196975 -0.770513 nan nan nan
5.58291 0.189399 -0.790155 nan nan nan
5.55902 0.181636 -0.809017 nan nan nan
5.53457 0.173693 -0.827081 nan nan nan
5.5096 0.16558 -0.844328 nan nan nan
5.48413 0.157302 -0.860742 nan nan nan
5.45817 0.14887 -0.876307 nan nan nan
5.43177 0.140291 -0.891007 nan nan nan
5.40494 0.131573 -0.904827 nan nan nan
5.37771 0.122725 -0.917755 nan nan nan
5.35011 0.113757 -0.929776 nan nan nan
5.32216 0.104676 -0.940881 nan nan nan
5.29389 0.0954915 -0.951057 nan nan nan
5.26534 0.086213 -0.960294 nan nan nan
5.23652 0.0768494 -0.968583 nan nan nan
5.20747 0.06741 -0.975917 nan nan nan
5.17821 0.057904 -0.982287 nan nan nan
5.14878 0.0483409 -0.987688 nan nan nan
5.1192 0.0387301 -0.992115 nan nan nan
5.0895 0.0290811 -0.995562 nan nan nan
