x1 x2 x3 v
0.192268 0.0382444 1.99037 0.000619674
0.162997 0.108911 1.99037 0.00052535
0.108911 0.162997 1.99037 0.000351046
0.0382444 0.192268 1.99037 0.00012328
-0.0382444 0.192268 1.99037 0.000123289
-0.108911 0.162997 1.99037 0.000351123
-0.162997 0.108911 1.99037 0.000525521
-0.192268 0.0382444 1.99037 0.000619913
-0.192268 -0.0382444 1.99037 0.000619913
-0.162997 -0.108911 1.99037 0.000525521
-0.108911 -0.162997 1.99037 0.000351123
-0.0382444 -0.192268 1.99037 0.000123289
0.0382444 -0.192268 1.99037 0.00012328
0.108911 -0.162997 1.99037 0.000351046
0.162997 -0.108911 1.99037 0.00052535
0.192268 -0.0382444 1.99037 0.000619674
